zipcode,city,state,county,jurisdiction,minimum wage
501,Holtsville,NY,Suffolk County,State,12.50
544,Holtsville,NY,Suffolk County,State,12.50
601,Adjuntas,PR,Adjuntas Municipio,State,7.25
602,Aguada,PR,Aguada Municipio,State,7.25
603,Aguadilla,PR,Aguadilla Municipio,State,7.25
604,Aguadilla,PR,,State,7.25
605,Aguadilla,PR,,State,7.25
606,Maricao,PR,Maricao Municipio,State,7.25
610,Anasco,PR,Añasco Municipio,State,7.25
611,Angeles,PR,,State,7.25
612,Arecibo,PR,Arecibo Municipio,State,7.25
613,Arecibo,PR,,State,7.25
614,Arecibo,PR,,State,7.25
616,Bajadero,PR,Arecibo Municipio,State,7.25
617,Barceloneta,PR,Barceloneta Municipio,State,7.25
622,Boqueron,PR,Cabo Rojo Municipio,State,7.25
623,Cabo Rojo,PR,Cabo Rojo Municipio,State,7.25
624,Penuelas,PR,Peñuelas Municipio,State,7.25
627,Camuy,PR,Camuy Municipio,State,7.25
631,Castaner,PR,Lares Municipio,State,7.25
636,Rosario,PR,,State,7.25
637,Sabana Grande,PR,Sabana Grande Municipio,State,7.25
638,Ciales,PR,Ciales Municipio,State,7.25
641,Utuado,PR,Utuado Municipio,State,7.25
646,Dorado,PR,Dorado Municipio,State,7.25
647,Ensenada,PR,Guánica Municipio,State,7.25
650,Florida,PR,Florida Municipio,State,7.25
652,Garrochales,PR,Arecibo Municipio,State,7.25
653,Guanica,PR,Guánica Municipio,State,7.25
656,Guayanilla,PR,Guayanilla Municipio,State,7.25
659,Hatillo,PR,Hatillo Municipio,State,7.25
660,Hormigueros,PR,Hormigueros Municipio,State,7.25
662,Isabela,PR,Isabela Municipio,State,7.25
664,Jayuya,PR,Jayuya Municipio,State,7.25
667,Lajas,PR,Lajas Municipio,State,7.25
669,Lares,PR,Lares Municipio,State,7.25
670,Las Marias,PR,Las Marías Municipio,State,7.25
674,Manati,PR,Manatí Municipio,State,7.25
676,Moca,PR,Moca Municipio,State,7.25
677,Rincon,PR,Rincón Municipio,State,7.25
678,Quebradillas,PR,Quebradillas Municipio,State,7.25
680,Mayaguez,PR,Mayagüez Municipio,State,7.25
681,Mayaguez,PR,,State,7.25
682,Mayaguez,PR,Mayagüez Municipio,State,7.25
683,San German,PR,San Germán Municipio,State,7.25
685,San Sebastian,PR,San Sebastián Municipio,State,7.25
687,Morovis,PR,Morovis Municipio,State,7.25
688,Sabana Hoyos,PR,Arecibo Municipio,State,7.25
690,San Antonio,PR,Aguadilla Municipio,State,7.25
692,Vega Alta,PR,Vega Alta Municipio,State,7.25
693,Vega Baja,PR,Vega Baja Municipio,State,7.25
694,Vega Baja,PR,Vega Baja Municipio,State,7.25
698,Yauco,PR,Yauco Municipio,State,7.25
703,Aguas Buenas,PR,Aguas Buenas Municipio,State,7.25
704,Aguirre,PR,Salinas Municipio,State,7.25
705,Aibonito,PR,Aibonito Municipio,State,7.25
707,Maunabo,PR,Maunabo Municipio,State,7.25
714,Arroyo,PR,Arroyo Municipio,State,7.25
715,Mercedita,PR,Ponce Municipio,State,7.25
716,Ponce,PR,Ponce Municipio,State,7.25
717,Ponce,PR,Ponce Municipio,State,7.25
718,Naguabo,PR,Naguabo Municipio,State,7.25
719,Naranjito,PR,Naranjito Municipio,State,7.25
720,Orocovis,PR,Orocovis Municipio,State,7.25
721,Palmer,PR,,State,7.25
723,Patillas,PR,Patillas Municipio,State,7.25
725,Caguas,PR,Caguas Municipio,State,7.25
726,Caguas,PR,,State,7.25
727,Caguas,PR,Caguas Municipio,State,7.25
728,Ponce,PR,Ponce Municipio,State,7.25
729,Canovanas,PR,Canóvanas Municipio,State,7.25
730,Ponce,PR,Ponce Municipio,State,7.25
731,Ponce,PR,Ponce Municipio,State,7.25
732,Ponce,PR,,State,7.25
733,Ponce,PR,,State,7.25
734,Ponce,PR,,State,7.25
735,Ceiba,PR,Ceiba Municipio,State,7.25
736,Cayey,PR,Cayey Municipio,State,7.25
737,Cayey,PR,,State,7.25
738,Fajardo,PR,Fajardo Municipio,State,7.25
739,Cidra,PR,Cidra Municipio,State,7.25
740,Puerto Real,PR,Fajardo Municipio,State,7.25
741,Punta Santiago,PR,Humacao Municipio,State,7.25
742,Roosevelt Roads,PR,,State,7.25
744,Rio Blanco,PR,,State,7.25
745,Rio Grande,PR,Río Grande Municipio,State,7.25
751,Salinas,PR,Salinas Municipio,State,7.25
754,San Lorenzo,PR,San Lorenzo Municipio,State,7.25
757,Santa Isabel,PR,Santa Isabel Municipio,State,7.25
765,Vieques,PR,Vieques Municipio,State,7.25
766,Villalba,PR,Villalba Municipio,State,7.25
767,Yabucoa,PR,Yabucoa Municipio,State,7.25
769,Coamo,PR,Coamo Municipio,State,7.25
771,Las Piedras,PR,Las Piedras Municipio,State,7.25
772,Loiza,PR,Loíza Municipio,State,7.25
773,Luquillo,PR,Luquillo Municipio,State,7.25
775,Culebra,PR,Culebra Municipio,State,7.25
777,Juncos,PR,Juncos Municipio,State,7.25
778,Gurabo,PR,Gurabo Municipio,State,7.25
780,Coto Laurel,PR,Ponce Municipio,State,7.25
782,Comerio,PR,Comerío Municipio,State,7.25
783,Corozal,PR,Corozal Municipio,State,7.25
784,Guayama,PR,Guayama Municipio,State,7.25
785,Guayama,PR,,State,7.25
786,La Plata,PR,Aibonito Municipio,State,7.25
791,Humacao,PR,Humacao Municipio,State,7.25
792,Humacao,PR,,State,7.25
794,Barranquitas,PR,Barranquitas Municipio,State,7.25
795,Juana Diaz,PR,Juana Díaz Municipio,State,7.25
801,St Thomas,VI,,State,10.50
802,St Thomas,VI,,State,10.50
803,St Thomas,VI,,State,10.50
804,St Thomas,VI,,State,10.50
805,St Thomas,VI,,State,10.50
820,Christiansted,VI,,State,10.50
821,Christiansted,VI,,State,10.50
822,Christiansted,VI,,State,10.50
823,Christiansted,VI,,State,10.50
824,Christiansted,VI,,State,10.50
830,St John,VI,,State,10.50
831,St John,VI,,State,10.50
840,Frederiksted,VI,,State,10.50
841,Frederiksted,VI,,State,10.50
850,Kingshill,VI,,State,10.50
851,Kingshill,VI,,State,10.50
901,San Juan,PR,San Juan Municipio,State,7.25
902,San Juan,PR,,State,7.25
906,San Juan,PR,San Juan Municipio,State,7.25
907,San Juan,PR,San Juan Municipio,State,7.25
908,San Juan,PR,,State,7.25
909,San Juan,PR,San Juan Municipio,State,7.25
910,San Juan,PR,,State,7.25
911,San Juan,PR,San Juan Municipio,State,7.25
912,San Juan,PR,San Juan Municipio,State,7.25
913,San Juan,PR,San Juan Municipio,State,7.25
914,San Juan,PR,,State,7.25
915,San Juan,PR,San Juan Municipio,State,7.25
916,San Juan,PR,,State,7.25
917,San Juan,PR,San Juan Municipio,State,7.25
918,San Juan,PR,San Juan Municipio,State,7.25
919,San Juan,PR,,State,7.25
920,San Juan,PR,San Juan Municipio,State,7.25
921,San Juan,PR,San Juan Municipio,State,7.25
922,San Juan,PR,,State,7.25
923,San Juan,PR,San Juan Municipio,State,7.25
924,San Juan,PR,San Juan Municipio,State,7.25
925,San Juan,PR,San Juan Municipio,State,7.25
926,San Juan,PR,San Juan Municipio,State,7.25
927,San Juan,PR,San Juan Municipio,State,7.25
928,San Juan,PR,,State,7.25
929,San Juan,PR,San Juan,State,7.25
930,San Juan,PR,,State,7.25
931,San Juan,PR,San Juan,State,7.25
933,San Juan,PR,San Juan,State,7.25
934,Fort Buchanan,PR,Guaynabo Municipio,State,7.25
935,San Juan,PR,San Juan,State,7.25
936,San Juan,PR,San Juan Municipio,State,7.25
937,San Juan,PR,San Juan,State,7.25
939,San Juan,PR,San Juan,State,7.25
940,San Juan,PR,,State,7.25
949,Toa Baja,PR,Toa Baja Municipio,State,7.25
950,Toa Baja,PR,Dorado Municipio,State,7.25
951,Toa Baja,PR,Toa Baja Municipio,State,7.25
952,Sabana Seca,PR,Toa Baja Municipio,State,7.25
953,Toa Alta,PR,Toa Alta Municipio,State,7.25
954,Toa Alta,PR,Toa Alta,State,7.25
955,San Juan,PR,San Juan,State,7.25
956,Bayamon,PR,Bayamón Municipio,State,7.25
957,Bayamon,PR,Bayamón Municipio,State,7.25
958,Bayamon,PR,BayamÃ³n,State,7.25
959,Bayamon,PR,Bayamón Municipio,State,7.25
960,Bayamon,PR,Bayamón Municipio,State,7.25
961,Bayamon,PR,Bayamón Municipio,State,7.25
962,Catano,PR,Cataño Municipio,State,7.25
963,Catano,PR,CataÃ±o,State,7.25
965,Guaynabo,PR,Guaynabo Municipio,State,7.25
966,Guaynabo,PR,Guaynabo Municipio,State,7.25
968,Guaynabo,PR,Guaynabo Municipio,State,7.25
969,Guaynabo,PR,Guaynabo Municipio,State,7.25
970,Guaynabo,PR,,State,7.25
971,Guaynabo,PR,Guaynabo Municipio,State,7.25
975,San Juan,PR,San Juan,State,7.25
976,Trujillo Alto,PR,Trujillo Alto Municipio,State,7.25
977,Trujillo Alto,PR,,State,7.25
978,Saint Just,PR,San Juan,State,7.25
979,Carolina,PR,Carolina Municipio,State,7.25
981,Carolina,PR,Carolina,State,7.25
982,Carolina,PR,Carolina Municipio,State,7.25
983,Carolina,PR,Carolina Municipio,State,7.25
984,Carolina,PR,Carolina,State,7.25
985,Carolina,PR,Carolina Municipio,State,7.25
986,Carolina,PR,Carolina,State,7.25
987,Carolina,PR,Carolina Municipio,State,7.25
988,Carolina,PR,Carolina,State,7.25
1001,Agawam,MA,Hampden County,State,13.50
1002,Amherst,MA,Hampshire County,State,13.50
1003,Amherst,MA,Hampshire County,State,13.50
1004,Amherst,MA,Hampshire County,State,13.50
1005,Barre,MA,Worcester County,State,13.50
1007,Belchertown,MA,Hampshire County,State,13.50
1008,Blandford,MA,Hampden County,State,13.50
1009,Bondsville,MA,Hampden County,State,13.50
1010,Brimfield,MA,Hampden County,State,13.50
1011,Chester,MA,Hampden County,State,13.50
1012,Chesterfield,MA,Hampshire County,State,13.50
1013,Chicopee,MA,Hampden County,State,13.50
1014,Chicopee,MA,Hampden County,State,13.50
1020,Chicopee,MA,Hampden County,State,13.50
1021,Chicopee,MA,Hampden County,State,13.50
1022,Chicopee,MA,Hampden County,State,13.50
1026,Cummington,MA,Hampshire County,State,13.50
1027,Easthampton,MA,Hampshire County,State,13.50
1028,East Longmeadow,MA,Hampden County,State,13.50
1029,East Otis,MA,Berkshire County,State,13.50
1030,Feeding Hills,MA,Hampden County,State,13.50
1031,Gilbertville,MA,Worcester County,State,13.50
1032,Goshen,MA,Hampshire County,State,13.50
1033,Granby,MA,Hampshire County,State,13.50
1034,Granville,MA,Hampden County,State,13.50
1035,Hadley,MA,Hampshire County,State,13.50
1036,Hampden,MA,Hampden County,State,13.50
1037,Hardwick,MA,Worcester County,State,13.50
1038,Hatfield,MA,Hampshire County,State,13.50
1039,Haydenville,MA,Hampshire County,State,13.50
1040,Holyoke,MA,Hampden County,State,13.50
1041,Holyoke,MA,Hampden County,State,13.50
1050,Huntington,MA,Hampshire County,State,13.50
1053,Leeds,MA,Hampshire County,State,13.50
1054,Leverett,MA,Franklin County,State,13.50
1056,Ludlow,MA,Hampden County,State,13.50
1057,Monson,MA,Hampden County,State,13.50
1059,North Amherst,MA,Hampshire County,State,13.50
1060,Northampton,MA,Hampshire County,State,13.50
1061,Northampton,MA,Hampshire County,State,13.50
1062,Florence,MA,Hampshire County,State,13.50
1063,Northampton,MA,Hampshire County,State,13.50
1066,North Hatfield,MA,Hampshire County,State,13.50
1068,Oakham,MA,Worcester County,State,13.50
1069,Palmer,MA,Hampden County,State,13.50
1070,Plainfield,MA,Hampshire County,State,13.50
1071,Russell,MA,Hampden County,State,13.50
1072,Shutesbury,MA,Franklin County,State,13.50
1073,Southampton,MA,Hampshire County,State,13.50
1074,South Barre,MA,Worcester County,State,13.50
1075,South Hadley,MA,Hampshire County,State,13.50
1077,Southwick,MA,Hampden County,State,13.50
1079,Thorndike,MA,Hampden County,State,13.50
1080,Three Rivers,MA,Hampden County,State,13.50
1081,Wales,MA,Hampden County,State,13.50
1082,Ware,MA,Hampshire County,State,13.50
1083,Warren,MA,Worcester County,State,13.50
1084,West Chesterfield,MA,Hampshire County,State,13.50
1085,Westfield,MA,Hampden County,State,13.50
1086,Westfield,MA,Hampden County,State,13.50
1088,West Hatfield,MA,Hampshire County,State,13.50
1089,West Springfield,MA,Hampden County,State,13.50
1090,West Springfield,MA,Hampden County,State,13.50
1092,West Warren,MA,Worcester County,State,13.50
1093,Whately,MA,Franklin County,State,13.50
1094,Wheelwright,MA,Worcester County,State,13.50
1095,Wilbraham,MA,Hampden County,State,13.50
1096,Williamsburg,MA,Hampshire County,State,13.50
1097,Woronoco,MA,Hampden County,State,13.50
1098,Worthington,MA,Hampshire County,State,13.50
1101,Springfield,MA,Hampden County,State,13.50
1102,Springfield,MA,Hampden County,State,13.50
1103,Springfield,MA,Hampden County,State,13.50
1104,Springfield,MA,Hampden County,State,13.50
1105,Springfield,MA,Hampden County,State,13.50
1106,Longmeadow,MA,Hampden County,State,13.50
1107,Springfield,MA,Hampden County,State,13.50
1108,Springfield,MA,Hampden County,State,13.50
1109,Springfield,MA,Hampden County,State,13.50
1111,Springfield,MA,Hampden County,State,13.50
1115,Springfield,MA,Hampden County,State,13.50
1116,Longmeadow,MA,Hampden County,State,13.50
1118,Springfield,MA,Hampden County,State,13.50
1119,Springfield,MA,Hampden County,State,13.50
1128,Springfield,MA,Hampden County,State,13.50
1129,Springfield,MA,Hampden County,State,13.50
1133,Springfield,MA,Hampden County,State,13.50
1138,Springfield,MA,Hampden County,State,13.50
1139,Springfield,MA,Hampden County,State,13.50
1144,Springfield,MA,Hampden County,State,13.50
1151,Indian Orchard,MA,Hampden County,State,13.50
1152,Springfield,MA,Hampden County,State,13.50
1195,Springfield,MA,Hampden County,State,13.50
1199,Springfield,MA,Hampden County,State,13.50
1201,Pittsfield,MA,Berkshire County,State,13.50
1202,Pittsfield,MA,Berkshire County,State,13.50
1203,Pittsfield,MA,Berkshire County,State,13.50
1220,Adams,MA,Berkshire County,State,13.50
1222,Ashley Falls,MA,Berkshire County,State,13.50
1223,Becket,MA,Berkshire County,State,13.50
1224,Berkshire,MA,Berkshire County,State,13.50
1225,Cheshire,MA,Berkshire County,State,13.50
1226,Dalton,MA,Berkshire County,State,13.50
1227,Dalton,MA,Berkshire County,State,13.50
1229,Glendale,MA,Berkshire County,State,13.50
1230,Great Barrington,MA,Berkshire County,State,13.50
1235,Hinsdale,MA,Berkshire County,State,13.50
1236,Housatonic,MA,Berkshire County,State,13.50
1237,Lanesboro,MA,Berkshire County,State,13.50
1238,Lee,MA,Berkshire County,State,13.50
1240,Lenox,MA,Berkshire County,State,13.50
1242,Lenox Dale,MA,Berkshire County,State,13.50
1243,Middlefield,MA,Hampshire County,State,13.50
1244,Mill River,MA,Berkshire County,State,13.50
1245,Monterey,MA,Berkshire County,State,13.50
1247,North Adams,MA,Berkshire County,State,13.50
1252,North Egremont,MA,Berkshire County,State,13.50
1253,Otis,MA,Berkshire County,State,13.50
1254,Richmond,MA,Berkshire County,State,13.50
1255,Sandisfield,MA,Berkshire County,State,13.50
1256,Savoy,MA,Berkshire County,State,13.50
1257,Sheffield,MA,Berkshire County,State,13.50
1258,South Egremont,MA,Berkshire County,State,13.50
1259,Southfield,MA,Berkshire County,State,13.50
1260,South Lee,MA,Berkshire County,State,13.50
1262,Stockbridge,MA,Berkshire County,State,13.50
1263,Stockbridge,MA,Berkshire County,State,13.50
1264,Tyringham,MA,Berkshire County,State,13.50
1266,West Stockbridge,MA,Berkshire County,State,13.50
1267,Williamstown,MA,Berkshire County,State,13.50
1270,Windsor,MA,Berkshire County,State,13.50
1301,Greenfield,MA,Franklin County,State,13.50
1302,Greenfield,MA,Franklin County,State,13.50
1330,Ashfield,MA,Franklin County,State,13.50
1331,Athol,MA,Worcester County,State,13.50
1337,Bernardston,MA,Franklin County,State,13.50
1338,Buckland,MA,Franklin County,State,13.50
1339,Charlemont,MA,Franklin County,State,13.50
1340,Colrain,MA,Franklin County,State,13.50
1341,Conway,MA,Franklin County,State,13.50
1342,Deerfield,MA,Franklin County,State,13.50
1343,Drury,MA,Berkshire County,State,13.50
1344,Erving,MA,Franklin County,State,13.50
1346,Heath,MA,Franklin County,State,13.50
1347,Lake Pleasant,MA,Franklin County,State,13.50
1349,Millers Falls,MA,Franklin County,State,13.50
1350,Monroe Bridge,MA,Franklin County,State,13.50
1351,Montague,MA,Franklin County,State,13.50
1354,Gill,MA,Franklin County,State,13.50
1355,New Salem,MA,Franklin County,State,13.50
1360,Northfield,MA,Franklin County,State,13.50
1364,Orange,MA,Franklin County,State,13.50
1366,Petersham,MA,Worcester County,State,13.50
1367,Rowe,MA,Franklin County,State,13.50
1368,Royalston,MA,Worcester County,State,13.50
1370,Shelburne Falls,MA,Franklin County,State,13.50
1373,South Deerfield,MA,Franklin County,State,13.50
1375,Sunderland,MA,Franklin County,State,13.50
1376,Turners Falls,MA,Franklin County,State,13.50
1378,Warwick,MA,Franklin County,State,13.50
1379,Wendell,MA,Franklin County,State,13.50
1380,Wendell Depot,MA,Franklin County,State,13.50
1420,Fitchburg,MA,Worcester County,State,13.50
1430,Ashburnham,MA,Worcester County,State,13.50
1431,Ashby,MA,Middlesex County,State,13.50
1432,Ayer,MA,Middlesex County,State,13.50
1434,Devens,MA,Worcester County,State,13.50
1436,Baldwinville,MA,Worcester County,State,13.50
1438,East Templeton,MA,Worcester County,State,13.50
1440,Gardner,MA,Worcester County,State,13.50
1441,Westminster,MA,Worcester County,State,13.50
1450,Groton,MA,Middlesex County,State,13.50
1451,Harvard,MA,Worcester County,State,13.50
1452,Hubbardston,MA,Worcester County,State,13.50
1453,Leominster,MA,Worcester County,State,13.50
1460,Littleton,MA,Middlesex County,State,13.50
1462,Lunenburg,MA,Worcester County,State,13.50
1463,Pepperell,MA,Middlesex County,State,13.50
1464,Shirley,MA,Middlesex County,State,13.50
1467,Still River,MA,Worcester County,State,13.50
1468,Templeton,MA,Worcester County,State,13.50
1469,Townsend,MA,Middlesex County,State,13.50
1470,Groton,MA,Middlesex County,State,13.50
1471,Groton,MA,Middlesex County,State,13.50
1472,West Groton,MA,Middlesex County,State,13.50
1473,Westminster,MA,Worcester County,State,13.50
1474,West Townsend,MA,Middlesex County,State,13.50
1475,Winchendon,MA,Worcester County,State,13.50
1477,Winchendon Springs,MA,Worcester County,State,13.50
1501,Auburn,MA,Worcester County,State,13.50
